epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.8185,0.78935,1.0322,1.24124,0.40894,0.39583,0.40113,0.23351,1.76097,2.01711,2.74667,0.000662192,0.000662192,0.000662192
2,54.1247,1.00787,1.01465,1.38004,0.45134,0.41667,0.39336,0.18039,1.8741,5.06756,2.62185,0.0013179,0.0013179,0.0013179
3,77.9998,1.00864,0.9973,1.37272,0.85134,0.65621,0.76006,0.53646,1.15904,1.40278,1.88603,0.0019626,0.0019626,0.0019626
4,103.11,0.93131,0.88961,1.31205,0.93345,0.86458,0.92466,0.71632,0.81779,1.04779,1.54232,0.0019505,0.0019505,0.0019505
5,127.855,0.90907,0.87526,1.29145,0.83686,0.78125,0.88814,0.67196,0.89444,1.04079,1.5685,0.001934,0.001934,0.001934
6,152.38,0.8146,0.76022,1.23879,0.93791,0.91667,0.95306,0.70361,0.90054,0.93285,1.5447,0.0019175,0.0019175,0.0019175
7,176.62,0.81385,0.77623,1.22221,0.99609,0.88542,0.94164,0.79231,0.68384,0.69507,1.34884,0.001901,0.001901,0.001901
8,202.01,0.75507,0.70476,1.20226,0.97774,0.91497,0.95581,0.78733,0.65326,0.62371,1.2885,0.0018845,0.0018845,0.0018845
9,226.511,0.75404,0.7042,1.2007,0.96464,0.92708,0.95319,0.81493,0.61144,0.65187,1.25865,0.001868,0.001868,0.001868
10,251.245,0.72547,0.6439,1.16867,0.97858,0.95191,0.96999,0.82295,0.58873,0.53475,1.24939,0.0018515,0.0018515,0.0018515
11,276.52,0.70686,0.65193,1.15577,1,0.92385,0.96951,0.84869,0.54455,0.44091,1.18214,0.001835,0.001835,0.001835
12,301.996,0.67053,0.60131,1.13892,1,0.95535,0.97094,0.85432,0.53647,0.46519,1.18454,0.0018185,0.0018185,0.0018185
13,327.484,0.63808,0.57719,1.12527,0.95769,0.94792,0.95944,0.84899,0.52775,0.46048,1.17782,0.001802,0.001802,0.001802
14,352.178,0.65895,0.58981,1.13367,0.9882,0.97917,0.97605,0.88174,0.48951,0.39473,1.09759,0.0017855,0.0017855,0.0017855
15,377.058,0.61984,0.54944,1.10992,0.98912,0.94741,0.9736,0.86131,0.48519,0.3962,1.13329,0.001769,0.001769,0.001769
16,401.541,0.59938,0.53056,1.10024,0.9962,0.95833,0.97109,0.87569,0.46551,0.3898,1.10571,0.0017525,0.0017525,0.0017525
17,425.538,0.60051,0.51906,1.09038,0.98782,0.96875,0.96751,0.88021,0.4731,0.42358,1.11491,0.001736,0.001736,0.001736
18,449.713,0.57937,0.4982,1.08573,1,0.94707,0.96846,0.88118,0.46636,0.43881,1.10629,0.0017195,0.0017195,0.0017195
19,473.83,0.59748,0.51084,1.10514,0.99424,0.95833,0.97321,0.8752,0.46327,0.36605,1.08117,0.001703,0.001703,0.001703
20,497.695,0.56213,0.48861,1.06691,1,0.96823,0.97481,0.91769,0.41826,0.33616,1.05964,0.0016865,0.0016865,0.0016865
21,523.352,0.57494,0.49651,1.08583,0.9482,0.95338,0.96607,0.89155,0.41116,0.39688,1.05207,0.00167,0.00167,0.00167
22,547.103,0.55786,0.47434,1.0712,1,0.96422,0.97272,0.90648,0.4233,0.37126,1.04195,0.0016535,0.0016535,0.0016535
23,571.536,0.54694,0.47121,1.07674,0.97861,0.95328,0.96917,0.90477,0.3737,0.38309,0.99695,0.001637,0.001637,0.001637
24,595.495,0.54852,0.44598,1.06978,0.98935,0.96763,0.9764,0.91299,0.40047,0.35136,1.02554,0.0016205,0.0016205,0.0016205
25,619.119,0.54806,0.46765,1.06868,0.97625,0.95833,0.97021,0.88318,0.44367,0.36185,1.08706,0.001604,0.001604,0.001604
26,643.582,0.54172,0.45226,1.05789,0.98884,0.96875,0.97387,0.90696,0.39442,0.33547,1.0324,0.0015875,0.0015875,0.0015875
27,667.394,0.541,0.46692,1.05722,0.98557,0.95833,0.96681,0.91819,0.36696,0.33218,0.99682,0.001571,0.001571,0.001571
28,691.091,0.5266,0.44698,1.05341,1,0.96694,0.97508,0.90625,0.39751,0.35057,1.03466,0.0015545,0.0015545,0.0015545
29,715.497,0.53279,0.45655,1.05677,0.99772,0.96875,0.97473,0.93269,0.33797,0.30026,0.97457,0.001538,0.001538,0.001538
30,740.759,0.50142,0.43031,1.04038,0.99883,0.96875,0.9708,0.89934,0.40194,0.34443,1.02752,0.0015215,0.0015215,0.0015215
31,765.586,0.51577,0.4374,1.04595,0.97677,0.96875,0.96769,0.88554,0.38911,0.36527,1.00684,0.001505,0.001505,0.001505
32,789.361,0.50545,0.43228,1.04056,0.98816,0.96875,0.97367,0.90704,0.37565,0.36276,1.01438,0.0014885,0.0014885,0.0014885
33,813.973,0.49506,0.41872,1.03573,0.99712,0.96875,0.97853,0.9274,0.34406,0.30284,0.99741,0.001472,0.001472,0.001472
34,837.859,0.48542,0.40736,1.02969,0.99908,0.96875,0.9725,0.90684,0.39052,0.3204,1.00709,0.0014555,0.0014555,0.0014555
35,861.818,0.50948,0.40976,1.04558,0.98899,0.96875,0.97547,0.92237,0.36581,0.2801,0.99916,0.001439,0.001439,0.001439
36,886.766,0.48703,0.40725,1.0269,0.99903,0.96875,0.97669,0.93798,0.31873,0.27739,0.96022,0.0014225,0.0014225,0.0014225
37,911.833,0.48171,0.40778,1.01976,0.97748,0.96875,0.97552,0.92926,0.32855,0.27756,0.95776,0.001406,0.001406,0.001406
38,935.772,0.48957,0.39442,1.02941,0.99897,0.96875,0.97834,0.92531,0.35086,0.28708,0.99076,0.0013895,0.0013895,0.0013895
39,960.286,0.47681,0.3999,1.02485,0.98837,0.96875,0.97379,0.91119,0.35194,0.30961,0.99404,0.001373,0.001373,0.001373
40,984.622,0.47553,0.3918,1.02203,0.99206,0.96875,0.97573,0.9392,0.31436,0.2742,0.94544,0.0013565,0.0013565,0.0013565
41,1009.72,0.47378,0.39007,1.02023,0.99829,0.96875,0.97601,0.9149,0.38469,0.28895,1.00764,0.00134,0.00134,0.00134
42,1033.72,0.48406,0.40213,1.02585,0.99679,0.96875,0.97545,0.92685,0.33832,0.26821,0.95031,0.0013235,0.0013235,0.0013235
